Country name,Regional indicator,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Botswana,Sub-Saharan Africa,3.9556153846153848,9.686692307692308,0.822923076923077,55.326846153846155,0.8214615384615385,-0.19769230769230767,0.7834615384615385,0.7098461538461538,0.2315
Brazil,Latin America and Caribbean,6.6026875,9.5835,0.893625,65.3038125,0.796125,-0.076375,0.724875,0.78375,0.3044375
Bulgaria,Central and Eastern Europe,4.627307692307692,9.890076923076922,0.891,66.29230769230769,0.6748461538461539,-0.1413076923076923,0.9412307692307693,0.6159615384615384,0.22265384615384615
Burkina Faso,Sub-Saharan Africa,4.2157857142857145,7.538357142857143,0.7344285714285714,51.2365,0.6556428571428572,-0.03214285714285715,0.761357142857143,0.6174285714285714,0.29814285714285715
Burundi,Sub-Saharan Africa,3.586,6.707833333333333,0.4298333333333333,51.330000000000005,0.48,-0.034499999999999996,0.7115,0.6246666666666667,0.24533333333333332
Cambodia,Southeast Asia,4.287,8.0940625,0.7219375,59.54375,0.9401875,0.1559375,0.8525,0.8023750000000001,0.3735625
Cameroon,Sub-Saharan Africa,4.6548125,8.106562499999999,0.7143125,50.0134375,0.734,-0.0103125,0.876875,0.6271875,0.302375
Canada,North America and ANZ,7.35925,10.75,0.934875,72.76375,0.927125,0.20975,0.4176875,0.8496874999999999,0.25075000000000003
Central African Republic,Middle East and North Africa,3.5149999999999997,6.961,0.4024,43.356,0.6804,0.027000000000000003,0.842,0.5616,0.3914
Chad,Sub-Saharan Africa,4.0658,7.4164666666666665,0.6638000000000001,46.0852,0.5048,0.0106,0.8662666666666666,0.5675,0.3448
Chile,Latin America and Caribbean,6.345125,10.004875,0.8511875,69.375,0.729125,0.0819375,0.7745,0.8165625,0.308875
China,East Asia,5.0661249999999995,9.3048125,0.786375,68.2933125,0.851625,-0.16925,0.755,0.8210625,0.1634375
Colombia,Latin America and Caribbean,6.23375,9.4748125,0.884875,66.6000625,0.815875,-0.083875,0.8473125,0.82525,0.296
Comoros,Sub-Saharan Africa,3.9932857142857143,7.996857142857143,0.6671428571428571,55.924142857142854,0.531,-0.002857142857142856,0.757,0.6947142857142856,0.2282857142857143
Congo (Brazzaville),Sub-Saharan Africa,4.5453636363636365,8.166363636363636,0.634,56.13827272727272,0.7205454545454546,-0.09272727272727273,0.7806818181818183,0.6012272727272727,0.33759090909090905
Congo (Kinshasa),Sub-Saharan Africa,4.348375,6.884125,0.775,51.355000000000004,0.586875,-0.008125,0.8455,0.5845,0.2675
Costa Rica,Latin America and Caribbean,7.172,9.7512,0.9046666666666667,70.45333333333333,0.9122,-0.009266666666666666,0.7950666666666667,0.8664666666666666,0.266
Croatia,Central and Eastern Europe,5.6461428571428565,10.140357142857143,0.8256428571428572,68.96135714285715,0.6487857142857143,-0.13185714285714287,0.9287142857142857,0.6140714285714285,0.2900714285714286
Cuba,Latin America and Caribbean,5.418,9.0045,0.97,68.44,0.281,-0.12325,0.74575,0.647,0.277
Cyprus,Western Europe,6.113357142857143,10.518642857142856,0.8015714285714285,73.03557142857143,0.7473571428571429,0.0515,0.8434285714285714,0.7617142857142857,0.3235
