Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Western Europe
8.714,0.796,59.5,0.78,0.001,0.817,0.771,0.388,False,False,False,True,False,False,False,False,False,False
9.327,0.909,63.7,0.431,-0.033,0.952,0.574,0.241,False,True,False,False,False,False,False,False,False,False
10.878,0.983,73.0,0.955,0.16,0.673,0.872,0.1575,False,False,False,False,False,False,False,False,False,True
9.592,0.899,66.6,0.83,-0.062,0.762,0.761,0.337,False,False,False,True,False,False,False,False,False,False
10.817,0.843,66.9,0.867,-0.104,0.736,0.7204999999999999,0.2674999999999999,False,False,False,False,True,False,False,False,False,False
10.407,0.878,69.7,0.883,-0.231,0.696,0.725,0.168,True,False,False,False,False,False,False,False,False,False
9.076,0.862,58.96,0.431,-0.199,0.854,0.523,0.404,False,False,False,False,True,False,False,False,False,False
9.073,0.896,66.3,0.636,-0.169,0.844,0.726,0.363,False,False,False,True,False,False,False,False,False,False
10.074,0.841,69.7,0.652,0.102,0.858,0.869,0.283,False,False,False,True,False,False,False,False,False,False
8.029,0.839,58.8,0.744,-0.086,0.794,0.784,0.245,False,False,False,False,False,False,False,False,True,False
9.17,0.854,61.88,0.772,-0.235,0.774,0.512,0.276,False,True,False,False,False,False,False,False,False,False
9.339,0.843,63.813,0.841,0.247,0.92,0.749,0.141,True,False,False,False,False,False,False,False,False,False
8.77,0.849,67.3,0.8915,0.086,0.789,0.642,0.232,False,False,False,False,False,False,False,True,False,False
7.605,0.823,49.12,0.704,-0.088,0.787,0.681,0.109,False,False,False,False,False,False,False,False,True,False
10.77,0.923,70.62,0.766,0.0794999999999999,0.758,0.787,0.22,False,False,False,False,False,False,False,False,False,True
10.893,0.813,76.82,0.705,0.222,0.38,0.609,0.21,False,False,True,False,False,False,False,False,False,False
8.209,0.667,45.78,0.76,-0.153,0.902,0.604,0.186,False,False,False,False,False,False,False,False,True,False
11.598,0.875,72.42,0.938,0.106,0.366,0.803,0.17,False,False,False,False,False,False,False,False,False,True
9.589,0.882,66.4,0.751,-0.117,0.763,0.75,0.35,False,False,False,True,False,False,False,False,False,False
10.529,0.928,73.2,0.868,-0.151,0.699,0.739,0.153,False,False,True,False,False,False,False,False,False,False
9.547,0.582,64.14,0.798,0.2,0.665,0.578,0.359,False,False,False,False,True,False,False,False,False,False
10.496,0.911,68.8,0.808,-0.146,0.886,0.751,0.206,True,False,False,False,False,False,False,False,False,False
10.848,0.962,70.62,0.935,0.298,0.22,0.769,0.175,False,False,False,False,False,False,False,False,False,True
9.64,0.871,65.225,0.706,0.08,0.87,0.639,0.292,True,False,False,False,False,False,False,False,False,False
8.336,0.552,57.08,0.543,0.14,0.677,0.585,0.295,False,False,False,False,False,False,True,False,False,False
8.608,0.801,60.0,0.852,-0.022,0.88,0.784,0.378,False,False,False,False,False,False,False,True,False,False
9.565,0.796,64.6,0.703,0.001,0.945,0.584,0.292,False,False,False,False,True,False,False,False,False,False
7.746,0.793,55.3,0.956,0.255,0.829,0.719,0.341,False,False,False,False,False,False,False,True,False,False
10.6,0.952,73.6,0.918,0.125,0.283,0.849,0.209,False,False,False,False,False,True,False,False,False,False
10.499,0.935,67.906,0.773,-0.203,0.826,0.581,0.275,True,False,False,False,False,False,False,False,False,False
9.604,0.875,67.58,0.786,-0.165,0.614,0.777,0.274,False,False,False,True,False,False,False,False,False,False
8.773,0.849,57.26,0.694,0.11,0.836,0.768,0.296,False,False,False,True,False,False,False,False,False,False
7.711,0.822,41.58,0.431,-0.076,0.905,0.715,0.297,False,False,False,False,False,False,False,False,True,False
8.396,0.585,58.76,0.455,0.225,0.663,0.387,0.622,False,False,False,False,True,False,False,False,False,False
7.723,0.813,58.7,0.616,0.044,0.95,0.57,0.215,False,False,False,False,False,False,True,False,False,False
10.899,0.944,71.0,0.883,0.365,0.419,0.788,0.182,False,False,False,False,False,False,False,False,False,True
9.092,0.768,67.6,0.805,-0.133,0.755,0.765,0.158,False,False,True,False,False,False,False,False,False,False
8.021,0.436,53.9,0.727,-0.065,0.767,0.615,0.458,False,False,False,False,False,False,False,False,True,False
11.647,0.908,72.6,0.907,-0.034,0.386,0.789,0.2,False,False,False,False,False,False,False,False,False,True
